,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
127,Feature,1999339901272,"12:35pm, 15th February 1999",slight,Cyclist,1,2,52.480132,-0.923447,"[-0.923464, 52.480143]"
128,Feature,1999339901775,"4:20pm, 2nd March 1999",slight,Cyclist,1,2,52.627786,-0.554739,"[-0.554732, 52.627796]"
129,Feature,1999339902485,"9:20pm, 30th March 1999",slight,Cyclist,1,2,52.757543,-0.881203,"[-0.881219, 52.757567]"
130,Feature,1999339902562,"1:00pm, 2nd April 1999",slight,Cyclist,1,2,52.6663,-0.730333,"[-0.730359, 52.666312]"
131,Feature,1999339902854,"1:30pm, 14th April 1999",slight,Cyclist,1,2,52.767585,-0.887911,"[-0.887923, 52.767567]"
132,Feature,1999339903576,"6:40am, 7th May 1999",slight,Cyclist,1,2,52.87358,-0.878516,"[-0.878523, 52.873591]"
133,Feature,1999339903757,"7:45am, 13th May 1999",slight,Cyclist,1,2,52.534289,-0.977999,"[-0.978012, 52.534284]"
134,Feature,1999339903836,"6:35pm, 19th May 1999",slight,Cyclist,1,2,52.661499,-0.735352,"[-0.735341, 52.661481]"
135,Feature,1999339904032,"7:25am, 27th May 1999",slight,Cyclist,1,2,52.759818,-0.884108,"[-0.884127, 52.759799]"
136,Feature,1999339904195,"1:15pm, 31st May 1999",slight,Cyclist,1,2,52.662423,-0.704421,"[-0.704425, 52.662447]"
137,Feature,1999339904220,"5:20pm, 2nd June 1999",slight,Cyclist,1,2,52.754388,-0.889878,"[-0.8899, 52.754384]"
138,Feature,1999339904633,"4:20pm, 15th June 1999",slight,Cyclist,1,2,52.596471,-0.793182,"[-0.793177, 52.596445]"
139,Feature,1999339904753,"7:30pm, 22nd June 1999",slight,Cyclist,1,2,52.761553,-0.896661,"[-0.896677, 52.761545]"
140,Feature,1999339905078,"4:55pm, 4th July 1999",slight,Cyclist,1,1,52.682488,-0.747763,"[-0.747755, 52.682495]"
141,Feature,1999339905301,"10:00am, 12th July 1999",slight,Cyclist,1,2,52.474828,-0.933441,"[-0.933444, 52.474815]"
142,Feature,1999339905571,"3:30pm, 20th July 1999",slight,Cyclist,1,2,52.670945,-0.744396,"[-0.744394, 52.670965]"
143,Feature,1999339905728,"5:15pm, 28th July 1999",slight,Cyclist,1,2,52.476223,-0.908965,"[-0.908978, 52.476235]"
144,Feature,1999339905786,"6:15am, 2nd August 1999",slight,Cyclist,1,2,52.474262,-0.93051,"[-0.930483, 52.47424]"
145,Feature,1999339906626,"12:13am, 29th August 1999",slight,Cyclist,1,1,52.766606,-0.888974,"[-0.888986, 52.766618]"
146,Feature,1999339906680,"12:30pm, 29th August 1999",slight,Cyclist,1,2,52.482863,-0.917342,"[-0.917323, 52.482837]"
147,Feature,1999339906899,"6:15pm, 10th September 1999",slight,Cyclist,1,2,52.719857,-0.631058,"[-0.631072, 52.719851]"
148,Feature,1999339907219,"2:00pm, 20th September 1999",slight,Cyclist,1,2,52.474262,-0.93051,"[-0.930528, 52.474241]"
149,Feature,1999339907300,"3:10pm, 23rd September 1999",slight,Cyclist,1,2,52.642744,-0.747125,"[-0.747112, 52.642728]"
150,Feature,1999339907318,"8:30am, 24th September 1999",slight,Cyclist,1,2,52.67086,-0.736412,"[-0.736407, 52.670864]"
151,Feature,1999339907871,"4:45pm, 11th October 1999",slight,Cyclist,1,2,52.763062,-0.884914,"[-0.884889, 52.763075]"
152,Feature,1999339908376,"4:45pm, 30th October 1999",slight,Cyclist,1,2,52.757721,-0.900314,"[-0.900293, 52.757732]"
153,Feature,1999339908529,"8:35am, 2nd November 1999",slight,Cyclist,1,2,52.668941,-0.74194,"[-0.74193, 52.668917]"
154,Feature,1999339908731,"3:45pm, 9th November 1999",slight,Cyclist,1,2,52.778812,-0.886736,"[-0.886745, 52.778819]"
155,Feature,1999339908976,"6:40am, 16th November 1999",slight,Cyclist,1,2,52.671018,-0.734337,"[-0.734343, 52.671005]"
156,Feature,1999339909372,"6:15am, 26th November 1999",slight,Cyclist,1,2,52.772584,-0.893714,"[-0.893691, 52.772581]"
157,Feature,1999339910253,"6:50pm, 25th December 1999",slight,Cyclist,1,2,52.522822,-0.962052,"[-0.962059, 52.522808]"
158,Feature,1999339910360,"10:30am, 23rd December 1999",slight,Cyclist,1,2,52.671167,-0.739953,"[-0.739936, 52.671173]"
159,Feature,199934NC00001,"9:50am, 2nd January 1999",serious,Cyclist,1,2,52.489953,-0.67724,"[-0.677253, 52.489974]"
160,Feature,199934NC00059,"6:35am, 28th January 1999",serious,Cyclist,1,2,52.495403,-0.706685,"[-0.706695, 52.495383]"
161,Feature,199934NC00115,"7:22am, 23rd February 1999",slight,Cyclist,1,2,52.486489,-0.705473,"[-0.705476, 52.48651]"
162,Feature,199934NC00159,"1:45pm, 14th March 1999",slight,Cyclist,1,2,52.380373,-0.77058,"[-0.770582, 52.380378]"
163,Feature,199934NC00160,"1:00pm, 16th March 1999",slight,Cyclist,1,2,52.503769,-0.698925,"[-0.698932, 52.503764]"
164,Feature,199934NC00168,"6:30am, 23rd March 1999",slight,Cyclist,1,2,52.384183,-0.698183,"[-0.698169, 52.384168]"
165,Feature,199934NC00186,"1:00pm, 30th March 1999",serious,Cyclist,1,2,52.406011,-0.721061,"[-0.721064, 52.405999]"
166,Feature,199934NC00206,"7:00am, 15th April 1999",serious,Cyclist,1,2,52.401495,-0.735891,"[-0.735894, 52.40149]"
167,Feature,199934NC00208,"5:05pm, 15th April 1999",slight,Cyclist,1,3,52.464478,-0.674471,"[-0.674476, 52.464453]"
168,Feature,199934NC00216,"10:30am, 17th April 1999",serious,Cyclist,1,2,52.423243,-0.5182,"[-0.518226, 52.423235]"
