,type,ID,Date&Time,Severity,Casualties,# of Casualties,# of Vehicles,Latitude,Longitude,Coordinates
150,Feature,199901GN00047,"4:15pm, 27th January 1999",slight,Cyclist,1,2,51.570305,-0.072938,"[-0.07292, 51.570294]"
151,Feature,199901GN00098,"12:20pm, 20th February 1999",slight,Cyclist,1,2,51.559209,-0.065328,"[-0.06531, 51.559201]"
152,Feature,199901GN00104,"8:50am, 25th February 1999",slight,Cyclist,1,2,51.570592,-0.096014,"[-0.096014, 51.570613]"
153,Feature,199901GN00135,"11:35am, 12th March 1999",slight,Cyclist,1,2,51.560663,-0.066276,"[-0.066264, 51.560667]"
154,Feature,199901GN00145,"12:47pm, 10th March 1999",slight,Cyclist,1,2,51.57433,-0.077097,"[-0.077087, 51.574309]"
155,Feature,199901GN00147,"7:35pm, 18th March 1999",serious,Cyclist,1,2,51.563791,-0.092547,"[-0.092573, 51.563786]"
156,Feature,199901GN00156,"11:50am, 24th March 1999",slight,Cyclist,1,3,51.546143,-0.07468,"[-0.074682, 51.54614]"
157,Feature,199901GN00181,"11:03am, 11th April 1999",slight,Cyclist,1,2,51.547134,-0.069302,"[-0.06928, 51.547112]"
158,Feature,199901GN00192,"12:00pm, 8th April 1999",serious,Cyclist,1,2,51.562042,-0.079058,"[-0.07908, 51.562052]"
159,Feature,199901GN00194,"9:00am, 15th April 1999",slight,Cyclist,1,2,51.550679,-0.071604,"[-0.071603, 51.550652]"
160,Feature,199901GN00201,"10:40pm, 7th April 1999",slight,Cyclist,1,2,51.574692,-0.08271,"[-0.082709, 51.574694]"
161,Feature,199901GN00203,"1:00pm, 7th April 1999",serious,Cyclist,1,2,51.548165,-0.066373,"[-0.06637, 51.548189]"
162,Feature,199901GN00214,"2:15pm, 5th May 1999",slight,Cyclist,1,2,51.572495,-0.069381,"[-0.069392, 51.572489]"
163,Feature,199901GN00220,"6:05pm, 27th April 1999",slight,Cyclist,1,2,51.562685,-0.063449,"[-0.063457, 51.562673]"
164,Feature,199901GN00226,"6:00pm, 4th May 1999",slight,Cyclist,1,2,51.550636,-0.07449,"[-0.074499, 51.55065]"
165,Feature,199901GN00227,"4:35pm, 4th May 1999",slight,Cyclist,1,2,51.546969,-0.075655,"[-0.07565, 51.546974]"
166,Feature,199901GN00229,"9:20am, 5th May 1999",slight,Cyclist,1,2,51.551994,-0.07501,"[-0.075006, 51.551982]"
167,Feature,199901GN00235,"2:15pm, 6th May 1999",slight,Cyclist,1,2,51.572393,-0.068664,"[-0.068682, 51.572397]"
168,Feature,199901GN00244,"8:48am, 14th May 1999",slight,Cyclist,1,2,51.552612,-0.057962,"[-0.057956, 51.552625]"
169,Feature,199901GN00268,"6:51pm, 25th May 1999",slight,Cyclist,1,2,51.542638,-0.080308,"[-0.0803, 51.542656]"
170,Feature,199901GN00284,"6:30pm, 1st June 1999",slight,Cyclist,1,2,51.555749,-0.079179,"[-0.079196, 51.555727]"
171,Feature,199901GN00306,"6:42pm, 9th June 1999",slight,Cyclist,1,2,51.550958,-0.072169,"[-0.072181, 51.550976]"
172,Feature,199901GN00308,"9:15am, 3rd June 1999",serious,Cyclist,1,2,51.546006,-0.077282,"[-0.077309, 51.545987]"
173,Feature,199901GN00314,"6:58pm, 9th June 1999",slight,Cyclist,1,1,51.54966,-0.075253,"[-0.075276, 51.549663]"
174,Feature,199901GN00326,"9:29am, 15th June 1999",slight,Cyclist,1,2,51.562042,-0.079058,"[-0.079062, 51.562048]"
175,Feature,199901GN00336,"2:55pm, 23rd June 1999",slight,Cyclist,1,2,51.567966,-0.072892,"[-0.072905, 51.567983]"
176,Feature,199901GN00338,"1:59pm, 26th June 1999",slight,Cyclist,1,2,51.562521,-0.091879,"[-0.091902, 51.562501]"
177,Feature,199901GN00341,"9:40pm, 25th June 1999",serious,Cyclist,1,2,51.542858,-0.07179,"[-0.071782, 51.542865]"
178,Feature,199901GN00356,"5:45pm, 5th July 1999",slight,Cyclist,1,2,51.54706,-0.086757,"[-0.086735, 51.547066]"
179,Feature,199901GN00363,"7:18pm, 9th July 1999",slight,Cyclist,1,2,51.560263,-0.08577,"[-0.085773, 51.560271]"
180,Feature,199901GN00370,"3:50pm, 10th July 1999",slight,Cyclist,1,2,51.560072,-0.074092,"[-0.074089, 51.560081]"
181,Feature,199901GN00383,"8:00am, 8th July 1999",slight,Cyclist,1,2,51.558663,-0.054098,"[-0.054071, 51.558643]"
182,Feature,199901GN00384,"12:35pm, 18th July 1999",serious,Cyclist,1,2,51.554934,-0.056998,"[-0.056979, 51.554924]"
183,Feature,199901GN00386,"8:45am, 12th July 1999",slight,Cyclist,1,2,51.57034,-0.064133,"[-0.064107, 51.570366]"
184,Feature,199901GN00394,"4:15pm, 25th July 1999",slight,Cyclist,1,2,51.552074,-0.085392,"[-0.085419, 51.552056]"
185,Feature,199901GN00396,"4:55pm, 24th July 1999",slight,Cyclist,1,2,51.549931,-0.064423,"[-0.06445, 51.549931]"
186,Feature,199901GN00407,"7:18am, 30th July 1999",slight,Cyclist,1,3,51.557097,-0.07364,"[-0.073638, 51.557079]"
187,Feature,199901GN00411,"6:40pm, 4th August 1999",serious,Cyclist,1,2,51.570682,-0.096011,"[-0.096006, 51.570689]"
188,Feature,199901GN00412,"2:05am, 4th August 1999",slight,Cyclist,1,2,51.555479,-0.068227,"[-0.068216, 51.555486]"
189,Feature,199901GN00431,"4:13pm, 13th August 1999",slight,Cyclist,1,2,51.553829,-0.071759,"[-0.071738, 51.553841]"
190,Feature,199901GN00435,"5:42pm, 14th August 1999",slight,Cyclist,1,2,51.558289,-0.06955,"[-0.06955, 51.558307]"
191,Feature,199901GN00450,"8:00pm, 23rd August 1999",slight,Cyclist,1,2,51.548763,-0.075435,"[-0.075456, 51.548769]"
192,Feature,199901GN00453,"10:25pm, 27th August 1999",slight,Cyclist,1,2,51.558692,-0.055828,"[-0.055836, 51.558718]"
193,Feature,199901GN00457,"1:09pm, 31st August 1999",serious,Cyclist,1,2,51.566875,-0.09415,"[-0.094133, 51.566887]"
194,Feature,199901GN00465,"8:20am, 8th September 1999",serious,Cyclist,1,2,51.557011,-0.090378,"[-0.090396, 51.556994]"
195,Feature,199901GN00466,"10:15pm, 8th September 1999",serious,Cyclist,1,2,51.573356,-0.07252,"[-0.072528, 51.57337]"
